scenario_id,outer_id,repeat,fold,candidate_rank,mean_test_r2,std_test_r2,mean_train_r2,std_train_r2,elapsed_grid_seconds_for_outer_fold,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
A_BMP_VS_all_features,1,1,1,50,0.32786437576257504,0.16310711225842603,0.835257756509965,0.011170201919623042,38.956488847732544,5.0,sqrt,1,2,50
A_BMP_VS_all_features,1,1,1,83,0.32205643487637936,0.1388399249642624,0.8344212468995942,0.009191532339472692,38.956488847732544,5.0,sqrt,1,2,100
A_BMP_VS_all_features,1,1,1,32,0.3366089383329465,0.14566855882600768,0.8348281083081304,0.00794298198745057,38.956488847732544,5.0,sqrt,1,2,150
A_BMP_VS_all_features,1,1,1,66,0.3255822024929872,0.17651736543394422,0.8009725881622449,0.009683596563482088,38.956488847732544,5.0,sqrt,1,5,50
A_BMP_VS_all_features,1,1,1,160,0.30840798562907923,0.17035348093406155,0.800620760988392,0.013452933148710378,38.956488847732544,5.0,sqrt,1,5,100
A_BMP_VS_all_features,1,1,1,135,0.31221672986543353,0.16390688181433094,0.8024401026889763,0.011572731592141838,38.956488847732544,5.0,sqrt,1,5,150
A_BMP_VS_all_features,1,1,1,167,0.30625326562371,0.1791465736302345,0.7167925057255392,0.014633083039762318,38.956488847732544,5.0,sqrt,1,10,50
A_BMP_VS_all_features,1,1,1,162,0.3072934573542879,0.17107641988435307,0.7136022168851384,0.020905718763100035,38.956488847732544,5.0,sqrt,1,10,100
A_BMP_VS_all_features,1,1,1,125,0.31349990010585876,0.16928351252324458,0.7154779787305923,0.017467134162972006,38.956488847732544,5.0,sqrt,1,10,150
A_BMP_VS_all_features,1,1,1,207,0.2947880835060638,0.17504144513371747,0.7865456279050308,0.013539720610890591,38.956488847732544,5.0,sqrt,2,2,50
A_BMP_VS_all_features,1,1,1,193,0.3027833216531417,0.16505814096631102,0.7906188905972936,0.015389019867465539,38.956488847732544,5.0,sqrt,2,2,100
A_BMP_VS_all_features,1,1,1,126,0.31349192723760466,0.159696085867541,0.7896702817149313,0.012913232679005154,38.956488847732544,5.0,sqrt,2,2,150
A_BMP_VS_all_features,1,1,1,216,0.29067633128733034,0.19004445411286347,0.7675238615658045,0.010121303046209814,38.956488847732544,5.0,sqrt,2,5,50
A_BMP_VS_all_features,1,1,1,206,0.2958362756578752,0.17395631903444164,0.773026372034723,0.015509995479884487,38.956488847732544,5.0,sqrt,2,5,100
A_BMP_VS_all_features,1,1,1,194,0.30268773717132,0.16587137784527967,0.7732285196139621,0.014228752985151175,38.956488847732544,5.0,sqrt,2,5,150
A_BMP_VS_all_features,1,1,1,168,0.30621396019686586,0.17467916280784312,0.6934485921975041,0.018242438365446485,38.956488847732544,5.0,sqrt,2,10,50
A_BMP_VS_all_features,1,1,1,155,0.3089742033760859,0.16526955651254602,0.6940356583813547,0.022759799073455697,38.956488847732544,5.0,sqrt,2,10,100
A_BMP_VS_all_features,1,1,1,166,0.3062735839074258,0.17191707671653925,0.6963562650336157,0.01839398881748084,38.956488847732544,5.0,sqrt,2,10,150
A_BMP_VS_all_features,1,1,1,210,0.29310354091776913,0.1531543050293917,0.6670115539190803,0.02566016732855474,38.956488847732544,5.0,sqrt,4,2,50
A_BMP_VS_all_features,1,1,1,178,0.30442872847112934,0.13544028341832093,0.667256228290559,0.024859444120487687,38.956488847732544,5.0,sqrt,4,2,100
A_BMP_VS_all_features,1,1,1,153,0.30916926476618223,0.14759539866918225,0.6693896296434321,0.021891550873941786,38.956488847732544,5.0,sqrt,4,2,150
A_BMP_VS_all_features,1,1,1,210,0.29310354091776913,0.1531543050293917,0.6670115539190803,0.02566016732855474,38.956488847732544,5.0,sqrt,4,5,50
A_BMP_VS_all_features,1,1,1,178,0.30442872847112934,0.13544028341832093,0.667256228290559,0.024859444120487687,38.956488847732544,5.0,sqrt,4,5,100
A_BMP_VS_all_features,1,1,1,153,0.30916926476618223,0.14759539866918225,0.6693896296434321,0.021891550873941786,38.956488847732544,5.0,sqrt,4,5,150
A_BMP_VS_all_features,1,1,1,197,0.30183046668090474,0.15056236490161887,0.6500058882132913,0.02362919565020137,38.956488847732544,5.0,sqrt,4,10,50
A_BMP_VS_all_features,1,1,1,163,0.3067568377846852,0.1345614173401858,0.6482769927581782,0.025324911665399068,38.956488847732544,5.0,sqrt,4,10,100
A_BMP_VS_all_features,1,1,1,175,0.3045842671941195,0.1421130452661895,0.6501922302650505,0.02285808508052008,38.956488847732544,5.0,sqrt,4,10,150
A_BMP_VS_all_features,1,1,1,7,0.35415717866279994,0.17770463839738626,0.8613795498108561,0.00700462226057993,38.956488847732544,5.0,0.7,1,2,50
A_BMP_VS_all_features,1,1,1,5,0.35654426715595927,0.16950333677580656,0.8592385928531521,0.010044792670042272,38.956488847732544,5.0,0.7,1,2,100
