scenario_id,outer_id,repeat,fold,inner_cv,scoring,refit,tuning_engine,candidate_count,best_inner_r2,elapsed_seconds,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
A_BMP_VS_all_features,28,6,3,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.40908446718759955,30.571803331375122,5,0.7,2,5,100
A_BMP_VS_all_features,29,6,4,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.40552177878781065,31.42875385284424,10,sqrt,1,5,50
A_BMP_VS_all_features,30,6,5,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.2990477006183575,31.1993989944458,10,sqrt,1,2,100
A_BMP_VS_all_features,31,7,1,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.38488156049769684,32.05842304229736,5,0.7,2,10,150
A_BMP_VS_all_features,32,7,2,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3406823444752416,35.86343574523926,7,sqrt,2,10,50
A_BMP_VS_all_features,33,7,3,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.411380316482499,35.878944873809814,,sqrt,2,5,50
A_BMP_VS_all_features,34,7,4,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3636520368925812,34.83818221092224,,0.7,2,10,100
A_BMP_VS_all_features,35,7,5,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.36245317918731496,40.99643015861511,7,0.7,1,5,100
A_BMP_VS_all_features,36,8,1,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.36292360439269555,34.74798107147217,10,sqrt,1,2,50
A_BMP_VS_all_features,37,8,2,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.41297567841778005,36.19915461540222,10,sqrt,1,10,50
A_BMP_VS_all_features,38,8,3,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3525992809394545,35.40849256515503,7,sqrt,2,5,150
A_BMP_VS_all_features,39,8,4,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3445441546888883,34.55933952331543,7,0.7,2,2,100
A_BMP_VS_all_features,40,8,5,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.33960269782187796,32.6814980506897,5,0.7,2,5,150
A_BMP_VS_all_features,41,9,1,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3799274634927202,30.33704948425293,5,0.7,4,10,100
A_BMP_VS_all_features,42,9,2,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.388542742432696,33.15962195396423,7,0.7,2,5,100
A_BMP_VS_all_features,43,9,3,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.34374047900586313,30.644835948944092,10,0.7,2,2,100
A_BMP_VS_all_features,44,9,4,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3984843281691132,31.449324369430542,10,0.7,4,2,150
A_BMP_VS_all_features,45,9,5,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3447929446154488,33.5942816734314,7,sqrt,1,2,50
A_BMP_VS_all_features,46,10,1,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3428061169305675,35.59674024581909,10,0.7,2,5,150
A_BMP_VS_all_features,47,10,2,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.36897678974627934,35.14505076408386,5,0.7,4,10,100
A_BMP_VS_all_features,48,10,3,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.35452431243364274,34.55574369430542,7,0.7,1,2,50
A_BMP_VS_all_features,49,10,4,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.4293497142101261,34.78661012649536,7,0.7,1,2,150
A_BMP_VS_all_features,50,10,5,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.36348295140671516,35.73405981063843,10,sqrt,1,5,50
B_BMP_DM_no_DM_VS,1,1,1,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3695923660345465,36.85840821266174,10,sqrt,1,5,150
B_BMP_DM_no_DM_VS,2,1,2,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.4376230971416713,35.46223759651184,7,sqrt,1,10,50
B_BMP_DM_no_DM_VS,3,1,3,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.43780954273848643,35.59946799278259,7,sqrt,2,2,100
B_BMP_DM_no_DM_VS,4,1,4,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.4499614695184052,31.405872583389282,7,sqrt,1,10,50
B_BMP_DM_no_DM_VS,5,1,5,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.35199317090707394,37.0085391998291,5,sqrt,2,10,150
B_BMP_DM_no_DM_VS,6,2,1,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3439148613232888,33.87329578399658,5,sqrt,2,2,150
B_BMP_DM_no_DM_VS,7,2,2,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.34153586569278155,36.061248779296875,5,sqrt,1,2,150
B_BMP_DM_no_DM_VS,8,2,3,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.43496055134055833,33.871689319610596,5,0.7,1,2,150
B_BMP_DM_no_DM_VS,9,2,4,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.5275619828448205,33.54544734954834,5,0.7,1,2,50
B_BMP_DM_no_DM_VS,10,2,5,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.42166434074900616,33.6563925743103,5,0.7,2,10,100
B_BMP_DM_no_DM_VS,11,3,1,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.36898485034615824,30.368319988250732,5,0.7,2,5,150
B_BMP_DM_no_DM_VS,12,3,2,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.39837763779211305,32.6664502620697,5,sqrt,2,2,100
B_BMP_DM_no_DM_VS,13,3,3,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.4576323694635507,31.41866397857666,5,sqrt,1,2,100
B_BMP_DM_no_DM_VS,14,3,4,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.4502356368547554,32.84325385093689,10,sqrt,1,10,100
B_BMP_DM_no_DM_VS,15,3,5,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.4244356720773882,31.77364683151245,5,sqrt,2,10,150
B_BMP_DM_no_DM_VS,16,4,1,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.32446837792750705,30.964154720306396,5,sqrt,4,2,150
B_BMP_DM_no_DM_VS,17,4,2,"KFold(n_splits=5, shuffle=True, random_state=42)",r2,True,complete_grid_prefix_forest_equivalent,216,0.3689013450356576,31.583528995513916,5,sqrt,2,10,100
